
---------- Begin Simulation Statistics ----------
simSeconds                                   1.506833                       # Number of seconds simulated (Second)
simTicks                                 1506832631472                       # Number of ticks simulated (Tick)
finalTick                                1506832631472                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  38955.80                       # Real time elapsed on the host (Second)
hostTickRate                                 38680571                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680296                       # Number of bytes of host memory used (Byte)
simInsts                                   9772103800                       # Number of instructions simulated (Count)
simOps                                     9772151951                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   250851                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     250852                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           357                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       4220819697                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.431925                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.315218                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      9935664770                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4335                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9877555482                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  41723                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            163517153                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         200963190                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 131                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4220716187                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.340256                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.803982                       # Number of insts issued each cycle (Count)
system.l2cache.demandMisses::cpu.data            1590                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::total               2383                       # number of demand (read+write) misses (Count)
system.l2cache.overallMisses::cpu.inst            793                       # number of overall misses (Count)
system.l2cache.overallMisses::cpu.data           1590                       # number of overall misses (Count)
system.l2cache.overallMisses::total              2383                       # number of overall misses (Count)
system.l2cache.demandMissLatency::cpu.inst     70588182                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::cpu.data    124978560                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::total     195566742                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.inst     70588182                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.data    124978560                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::total    195566742                       # number of overall miss ticks (Tick)
system.l2cache.demandAccesses::cpu.inst           822                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::cpu.data      38883537                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::total         38884359                       # number of demand (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.inst          822                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.data     38883537                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::total        38884359                       # number of overall (read+write) accesses (Count)
system.l2cache.demandMissRate::cpu.inst      0.964720                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::cpu.data      0.000041                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::total         0.000061                       # miss rate for demand accesses (Ratio)
system.l2cache.overallMissRate::cpu.inst     0.964720                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::cpu.data     0.000041                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::total        0.000061                       # miss rate for overall accesses (Ratio)
system.l2cache.demandAvgMissLatency::cpu.inst 89014.100883                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::cpu.data 78602.867925                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::total 82067.453630                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.inst 89014.100883                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.data 78602.867925                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::total 82067.453630                       # average overall miss latency ((Tick/Count))
system.l2cache.blockedCycles::no_mshrs              0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCauses::no_mshrs              0                       # number of times access was blocked (Count)
system.l2cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.l2cache.avgBlocked::no_mshrs               nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.avgBlocked::no_targets             nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.demandMshrHits::cpu.data             1                       # number of demand (read+write) MSHR hits (Count)
system.l2cache.demandMshrHits::total                1                       # number of demand (read+write) MSHR hits (Count)
system.l2cache.overallMshrHits::cpu.data            1                       # number of overall MSHR hits (Count)
system.l2cache.overallMshrHits::total               1                       # number of overall MSHR hits (Count)
system.l2cache.demandMshrMisses::cpu.inst          793                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::cpu.data         1589                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::total           2382                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.inst          793                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.data         1589                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::total          2382                       # number of overall MSHR misses (Count)
system.l2cache.demandMshrMissLatency::cpu.inst     64940442                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.demandMshrMissLatency::cpu.data    113567412                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.demandMshrMissLatency::total    178507854                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::cpu.inst     64940442                       # number of overall MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::cpu.data    113567412                       # number of overall MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::total    178507854                       # number of overall MSHR miss ticks (Tick)
system.l2cache.demandMshrMissRate::cpu.inst     0.964720                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.demandMshrMissRate::cpu.data     0.000041                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.demandMshrMissRate::total     0.000061                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.overallMshrMissRate::cpu.inst     0.964720                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.overallMshrMissRate::cpu.data     0.000041                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.overallMshrMissRate::total     0.000061                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.demandAvgMshrMissLatency::cpu.inst 81892.108449                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.demandAvgMshrMissLatency::cpu.data 71470.995595                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.demandAvgMshrMissLatency::total 74940.324937                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::cpu.inst 81892.108449                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::cpu.data 71470.995595                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::total 74940.324937                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.replacements                         0                       # number of replacements (Count)
system.l2cache.InvalidateReq.misses::cpu.data            8                       # number of InvalidateReq misses (Count)
system.l2cache.InvalidateReq.misses::total            8                       # number of InvalidateReq misses (Count)
system.l2cache.InvalidateReq.accesses::cpu.data            8                       # number of InvalidateReq accesses(hits+misses) (Count)
system.l2cache.InvalidateReq.accesses::total            8                       # number of InvalidateReq accesses(hits+misses) (Count)
